resnet18_alldata,1658261023.573, 0.83, 0.416, 0.77, 0.4736
resnet18_alldata,1658261024.103, 0.74, 0.5244, 0.77, 0.4905
resnet18_alldata,1658261024.643, 0.83, 0.4259, 0.82, 0.4743
resnet18_alldata,1658261025.181, 0.82, 0.4225, 0.79, 0.5213
resnet18_alldata,1658261025.714, 0.78, 0.4825, 0.82, 0.458
resnet18_alldata,1658261026.253, 0.79, 0.5068, 0.76, 0.4728
resnet18_alldata,1658261026.789, 0.8, 0.4883, 0.81, 0.4398
resnet18_alldata,1658261027.333, 0.78, 0.4658, 0.72, 0.5242
resnet18_alldata,1658261027.872, 0.81, 0.4675, 0.81, 0.4644
resnet18_alldata,1658261028.407, 0.8, 0.4798, 0.81, 0.4287
resnet18_alldata,1658261028.944, 0.75, 0.5204, 0.73, 0.5064
resnet18_alldata,1658261029.482, 0.69, 0.5116, 0.78, 0.4433
resnet18_alldata,1658261030.02, 0.74, 0.524, 0.85, 0.4566
resnet18_alldata,1658261030.556, 0.76, 0.5219, 0.8, 0.4996
resnet18_alldata,1658261031.076, 0.76, 0.5231, 0.79, 0.453
resnet18_alldata,1658261031.625, 0.83, 0.486, 0.81, 0.4706
resnet18_alldata,1658261032.174, 0.71, 0.532, 0.83, 0.475
resnet18_alldata,1658261032.721, 0.82, 0.4789, 0.79, 0.48
resnet18_alldata,1658261033.261, 0.79, 0.4432, 0.83, 0.4771
resnet18_alldata,1658261033.806, 0.82, 0.5026, 0.76, 0.4719
resnet18_alldata,1658261034.345, 0.85, 0.4177, 0.79, 0.453
resnet18_alldata,1658261034.902, 0.78, 0.5079, 0.8, 0.4846
resnet18_alldata,1658261035.446, 0.72, 0.5201, 0.84, 0.4588
resnet18_alldata,1658261035.994, 0.79, 0.4454, 0.77, 0.4368
resnet18_alldata,1658261036.537, 0.76, 0.4956, 0.8, 0.4884
resnet18_alldata,1658261037.085, 0.87, 0.4605, 0.83, 0.4069
resnet18_alldata,1658261037.632, 0.78, 0.4958, 0.82, 0.4689
resnet18_alldata,1658261038.178, 0.77, 0.4917, 0.74, 0.5034
resnet18_alldata,1658261038.73, 0.82, 0.4353, 0.87, 0.3842
resnet18_alldata,1658261039.278, 0.82, 0.4554, 0.79, 0.5074
resnet18_alldata,1658261039.826, 0.76, 0.5058, 0.81, 0.4193
resnet18_alldata,1658261040.379, 0.8, 0.4932, 0.79, 0.4318
resnet18_alldata,1658261040.924, 0.81, 0.4771, 0.84, 0.4338
resnet18_alldata,1658261041.472, 0.81, 0.4298, 0.81, 0.4226
resnet18_alldata,1658261042.016, 0.74, 0.4943, 0.8, 0.4439
resnet18_alldata,1658261042.571, 0.82, 0.3932, 0.87, 0.4392
resnet18_alldata,1658261043.115, 0.79, 0.472, 0.79, 0.4958
