Date,Pen,Tag,Start_Time,End_Time,Total_Time,Total_Time,Nose_Rub,Water_Lap,Idle
11/02/2022,120,64C,12:31:39,12:34:16,0:02:37,2.62,1,0,0
11/02/2022,120,63F,12:37:20,12:39:25,0:02:05,2.08,0,0,0
11/02/2022,121,64E,12:37:30,12:39:12,0:01:42,1.7,1,1,0
11/02/2022,121,9G,12:39:16,12:40:14,0:00:58,0.97,1,0,0
11/02/2022,121,9G,12:41:03,12:41:56,0:00:53,0.88,1,0,0
11/02/2022,121,25X,12:42:11,12:46:08,0:03:57,3.95,1,1,0
11/02/2022,120,110C,12:42:39,12:43:10,0:00:31,0.52,0,0,1
11/02/2022,121,78F,12:46:17,12:48:30,0:02:13,2.22,0,1,0
11/02/2022,121,83F,12:51:11,12:51:41,0:00:30,0.5,0,0,0
11/02/2022,121,83F,12:52:37,12:57:53,0:05:16,5.27,0,0,0
11/02/2022,121,31F,13:00:22,13:00:53,0:00:31,0.52,0,0,0
11/02/2022,121,9G,13:21:17,13:21:45,0:00:28,0.47,0,0,1
11/02/2022,120,53F,13:34:23,13:35:34,0:01:11,1.18,0,0,0
11/02/2022,120,110C,13:44:04,13:48:20,0:04:16,4.27,1,1,0
11/02/2022,121,64E,13:48:47,13:53:29,0:04:42,4.7,1,1,0
11/02/2022,121,64E,13:54:39,13:55:32,0:00:53,0.88,1,1,0
11/02/2022,121,31F,14:14:36,14:15:46,0:01:10,1.17,0,1,0
11/02/2022,120,64C,14:19:44,14:23:28,0:03:44,3.73,1,1,0
11/02/2022,120,53F,14:43:56,14:45:51,0:01:55,1.92,0,0,0
11/02/2022,121,78F,14:57:34,14:58:44,0:01:10,1.17,0,1,0
11/02/2022,120,110C,15:22:16,15:31:05,0:08:49,8.82,1,0,0
11/02/2022,120,63F,15:38:34,15:39:37,0:01:03,1.05,0,0,0
11/02/2022,121,64E,15:40:14,15:46:05,0:05:51,5.85,1,1,0
11/02/2022,121,64E,15:46:41,15:48:21,0:01:40,1.67,1,1,0
11/02/2022,120,149A,15:48:14,15:50:29,0:02:15,2.25,0,0,0
11/02/2022,120,53F,15:54:43,15:58:11,0:03:28,3.47,0,0,0
11/02/2022,120,64C,16:10:40,16:14:43,0:04:03,4.05,1,0,0
24/02/2022,101,358H,9:27:23,9:28:21,0:00:58,0.97,0,0,1
24/02/2022,101,333H,10:28:54,10:29:44,0:00:50,0.83,0,0,1
24/02/2022,101,57H,10:39:50,10:40:23,0:00:33,0.55,0,0,1
